"error.object.name","code","name","description"
"COMMUNICATION_ERROR","1000","Communication error","Generic communication error."
"DESTINATION_COMMUNICATION_ERROR","1001","Destination communication error","Destination of the request failed to be reached. This usually indicates that a Peer FSP failed to respond from an intermediate entity."
"GENERIC_SERVER_ERROR","2000","Generic server error","Generic server error to be used in order not to disclose information that may be considered private."
"INTERNAL_SERVER_ERROR","2001","Internal server error","Generic unexpected exception. This usually indicates a bug or unhandled error case."
"NOT_IMPLEMENTED","2002","Not implemented","Service requested is not supported by the server."
"SERVICE_CURRENTLY_UNAVAILABLE","2003","Service currently unavailable","Service requested is currently unavailable on the server. This could be because maintenance is taking place, or because of a temporary failure."
"SERVER_TIMED_OUT","2004","Server timed out","Timeout has occurred, meaning the next Party in the chain did not send a callback in time. This could be because a timeout is set too low or because something took longer than expected."
"SERVER_BUSY","2005","Server busy","Server is rejecting requests due to overloading. Try again later. "
"GENERIC_CLIENT_ERROR","3000","Generic client error","Generic client error, used in order not to disclose information that may be considered private."
"UNACCEPTABLE_VERSION_REQUESTED","3001","Unacceptable version requested","Client requested to use a protocol version which is not supported by the server."
"UNKNOWN_URI","3002","Unknown URI","Provided URI was unknown to the server."
"ADD_PARTY_INFORMATION_ERROR","3003","Add Party information error","Error occurred while adding or updating information regarding a Party."
"GENERIC_VALIDATION_ERROR","3100","Generic validation error","Generic validation error to be used in order not to disclose information that may be considered private."
"MALFORMED_SYNTAX","3101","Malformed syntax","Format of the parameter is not valid. For example, amount set to 5.ABC. The error description field should specify which information element is erroneous."
"MISSING_MANDATORY_ELEMENT","3102","Missing mandatory element","Mandatory element in the data model was missing."
"TOO_MANY_ELEMENTS","3103","Too many elements","Number of elements of an array exceeds the maximum number allowed."
"TOO_LARGE_PAYLOAD","3104","Too large payload","Size of the payload exceeds the maximum size."
"INVALID_SIGNATURE","3105","Invalid signature","Some parameters have changed in the message, making the signature invalid. This may indicate that the message may have been modified maliciously."
"MODIFIED_REQUEST","3106","Modified request","Request with the same ID has previously been processed in which the parameters are not the same."
"MISSING_MANDATORY_EXTENSION_PARAMETER","3107","Missing mandatory extension parameter","Scheme-mandatory extension parameter was missing."
"GENERIC_ID_NOT_FOUND","3200","Generic ID not found","Generic ID error provided by the client."
"DESTINATION_FSP_ERROR","3201","Destination FSP Error","Destination FSP does not exist or cannot be found."
"PAYER_FSP_ID_NOT_FOUND","3202","Payer FSP ID not found","Provided Payer FSP ID not found."
"PAYEE_FSP_ID_NOT_FOUND","3203","Payee FSP ID not found","Provided Payee FSP ID not found."
"PARTY_NOT_FOUND","3204","Party not found","Party with the provided identifier, identifier type, and optional sub id or type was not found."
"QUOTE_ID_NOT_FOUND","3205","Quote ID not found","Provided Quote ID was not found on the server."
"TRANSACTION_REQUEST_ID_NOT_FOUND","3206","Transaction request ID not found","Provided Transaction Request ID was not found on the server."
"TRANSACTION_ID_NOT_FOUND","3207","Transaction ID not found","Provided Transaction ID was not found on the server."
"TRANSFER_ID_NOT_FOUND","3208","Transfer ID not found","Provided Transfer ID was not found on the server."
"BULK_QUOTE_ID_NOT_FOUND","3209","Bulk quote ID not found","Provided Bulk Quote ID was not found on the server."
"BULKD_TRANSFER_ID_NOT_FOUND","3210","Bulk transfer ID not found","Provided Bulk Transfer ID was not found on the server."
"GENERIC_EXPIRED_ERROR","3300","Generic expired error","Generic expired object error, to be used in order not to disclose information that may be considered private."
"TRANSACTION_REQUEST_EXPIRED","3301","Transaction request expired","Client requested to use a transaction request that has already expired."
"QUOTE_EXPIRED","3302","Quote expired","Client requested to use a quote that has already expired."
"TRANSFER_EXPIRED","3303","Transfer expired","Client requested to use a transfer that has already expired."
"GENERIC_PAYER_ERROR","4000","Generic Payer error","Generic error related to the Payer or Payer FSP. Used for protecting information that may be considered private."
"PAYER_FSP_INSUFFICIENT_LIQUIDITY","4001","Payer FSP insufficient liquidity","Payer FSP has insufficient liquidity to perform the transfer."
"GENERIC_PAYER_REJECTION","4100","Generic Payer rejection","Payer or Payer FSP rejected the request."
"PAYER_REJECTED_TRANSACTION_REQUEST","4101","Payer rejected transaction request","Payer rejected the transaction request from the Payee."
"PAYER_FSP_UNSUPPORTED_TRANSACTION_TYPE","4102","Payer FSP unsupported transaction type","Payer FSP does not support or rejected the requested transaction type."
"PAYER_UNSUPPORTED_CURRENCY","4103","Payer unsupported currency","Payer does not have an account which supports the requested currency."
"PAYER_LIMIT_ERROR","4200","Payer limit error","Generic limit error, for example, the Payer is making more payments per day or per month than they are allowed to, or is making a payment which is larger than the allowed maximum per transaction."
"PAYER_PERMISSION_ERROR","4300","Payer permission error","Generic permission error, the Payer or Payer FSP does not have the access rights to perform the service."
"GENERIC_PAYER_BLOCKED_ERROR","4400","Generic Payer blocked error","Generic Payer blocked error; the Payer is blocked or has failed regulatory screenings."
"GENERIC_PAYEE_ERROR","5000","Generic Payee error","Generic error due to the Payer or Payer FSP, to be used in order not to disclose information that may be considered private."
"PAYEE_FSP_INSUFFICIENT_LIQUIDITY","5001","Payee FSP insufficient liquidity","Payee FSP has insufficient liquidity to perform the transfer."
"GENERIC_PAYEE_REJECTION","5100","Generic Payee rejection","Payee or Payee FSP rejected the request."
"PAYEE_REJECTED_QUOTE","5101","Payee rejected quote","Payee does not want to proceed with the financial transaction after receiving a quote."
"PAYEE_FSP_UNSUPPORTED_TRANSACTION_TYPE","5102","Payee FSP unsupported transaction type","Payee FSP does not support or has rejected the requested transaction type."
"PAYEE_FSP_REJECTED_QUOTE","5103","Payee FSP rejected quote","Payee FSP does not want to proceed with the financial transaction after receiving a quote."
"PAYEE_REJECTED_TRANSACTION","5104","Payee rejected transaction","Payee rejected the financial transaction."
"PAYEE_FSP_REJECTED_TRANSACTION","5105","Payee FSP rejected transaction","Payee FSP rejected the financial transaction."
"PAYEE_UNSUPPORTED_CURRENCY","5106","Payee unsupported currency","Payee does not have an account that supports the requested currency."
"PAYEE_LIMIT_ERROR","5200","Payee limit error","Generic limit error, for example, the Payee is receiving more payments per day or per month than they are allowed to, or is receiving a payment that is larger than the allowed maximum per transaction."
"PAYEE_PERMISSION_ERROR","5300","Payee permission error","Generic permission error, the Payee or Payee FSP does not have the access rights to perform the service."
"GENERIC_PAYEE_BLOCKED_ERROR","5400","Generic Payee blocked error","Generic Payee Blocked error, the Payee is blocked or has failed regulatory screenings."
